,Star type,Temperature (K),Luminosity(L/Lo),Radius(R/Ro),Absolute magnitude(Mv),Star color,Spectral Class,Star color encoded,Spectral class encoded
0,0,3068,0.0024,0.17,16.12,Red,M,5.0,5.0
1,0,3042,0.0005,0.1542,16.6,Red,M,5.0,5.0
2,0,2600,0.0003,0.102,18.7,Red,M,5.0,5.0
3,0,2800,0.0002,0.16,16.65,Red,M,5.0,5.0
4,0,1939,0.000138,0.103,20.06,Red,M,5.0,5.0
5,0,2840,0.00065,0.11,16.98,Red,M,5.0,5.0
6,0,2637,0.00073,0.127,17.22,Red,M,5.0,5.0
7,0,2600,0.0004,0.096,17.4,Red,M,5.0,5.0
8,0,2650,0.00069,0.11,17.45,Red,M,5.0,5.0
9,0,2700,0.00018,0.13,16.05,Red,M,5.0,5.0
10,1,3600,0.0029,0.51,10.69,Red,M,5.0,5.0
11,1,3129,0.0122,0.3761,11.79,Red,M,5.0,5.0
12,1,3134,0.0004,0.196,13.21,Red,M,5.0,5.0
13,1,3628,0.0055,0.393,10.48,Red,M,5.0,5.0
14,1,2650,0.0006,0.14,11.782,Red,M,5.0,5.0
15,1,3340,0.0038,0.24,13.07,Red,M,5.0,5.0
16,1,2799,0.0018,0.16,14.79,Red,M,5.0,5.0
17,1,3692,0.00367,0.47,10.8,Red,M,5.0,5.0
18,1,3192,0.00362,0.1967,13.53,Red,M,5.0,5.0
19,1,3441,0.039,0.351,11.18,Red,M,5.0,5.0
20,2,25000,0.056,0.0084,10.58,Blue_White,B,1.0,1.0
21,2,7740,0.00049,0.01234,14.02,White,A,6.0,0.0
22,2,7220,0.00017,0.011,14.23,White,F,6.0,2.0
23,2,8500,0.0005,0.01,14.5,White,A,6.0,0.0
24,2,16500,0.013,0.014,11.89,Blue_White,B,1.0,1.0
25,2,12990,8.5e-05,0.00984,12.23,Yellowish_White,F,11.0,2.0
26,2,8570,0.00081,0.0097,14.2,Blue_White,A,1.0,0.0
27,2,7700,0.00011,0.0128,14.47,Yellowish_White,F,11.0,2.0
28,2,11790,0.00015,0.011,12.59,Yellowish_White,F,11.0,2.0
29,2,7230,8e-05,0.013,14.08,Pale_Yellow_Orange,F,4.0,2.0
30,3,39000,204000.0,10.6,-4.7,Blue,O,0.0,6.0
31,3,30000,28840.0,6.3,-4.2,Blue_White,B,1.0,1.0
32,3,15276,1136.0,7.2,-1.97,Blue_White,B,1.0,1.0
33,3,9700,74.0,2.89,0.16,Whitish,B,8.0,1.0
34,3,5800,0.81,0.9,5.05,Yellow_White,F,9.0,2.0
35,3,8052,8.7,1.8,2.42,Whitish,A,8.0,0.0
36,3,6757,1.43,1.12,2.41,Yellow_White,F,9.0,2.0
37,3,6380,1.35,0.98,2.93,Yellow_White,F,9.0,2.0
38,3,5936,1.357,1.106,4.46,Yellow_White,F,9.0,2.0
39,3,5587,0.819,0.99,5.03,Yellow_White,F,9.0,2.0
40,4,3826,200000.0,19.0,-6.93,Red,M,5.0,5.0
41,4,3365,340000.0,23.0,-6.2,Red,M,5.0,5.0
42,4,3270,150000.0,88.0,-6.02,Red,M,5.0,5.0
43,4,3200,195000.0,17.0,-7.22,Red,M,5.0,5.0
44,4,3008,280000.0,25.0,-6.0,Red,M,5.0,5.0
45,4,3600,320000.0,29.0,-6.6,Red,M,5.0,5.0
46,4,3575,123000.0,45.0,-6.78,Red,M,5.0,5.0
47,4,3574,200000.0,89.0,-5.24,Red,M,5.0,5.0
48,4,3625,184000.0,84.0,-6.74,Red,M,5.0,5.0
49,4,33750,220000.0,26.0,-6.1,Blue,B,0.0,1.0
50,5,3490,270000.0,1520.0,-9.4,Red,M,5.0,5.0
51,5,3750,283000.0,1260.0,-7.63,Red,M,5.0,5.0
52,5,3834,272000.0,1183.0,-9.2,Red,M,5.0,5.0
53,5,3749,550000.0,1648.0,-8.05,Orange,M,2.0,5.0
54,5,3650,310000.0,1324.0,-7.79,Red,M,5.0,5.0
55,5,3450,263000.0,1349.0,-11.75,Red,M,5.0,5.0
56,5,3660,363000.0,1673.0,-11.92,Red,M,5.0,5.0
57,5,3450,174000.0,1284.0,-11.28,Red,M,5.0,5.0
58,5,3752,209000.0,955.0,-11.24,Red,M,5.0,5.0
59,5,3535,195000.0,1546.0,-11.36,Red,M,5.0,5.0
60,0,3341,0.0056,0.057,16.23,Red,M,5.0,5.0
61,0,3432,0.00067,0.19,16.94,Red,M,5.0,5.0
62,0,2983,0.00024,0.094,16.09,Red,M,5.0,5.0
63,0,2835,0.00034,0.0918,16.96,Red,M,5.0,5.0
64,0,2935,0.00014,0.116,18.89,Red,M,5.0,5.0
65,0,3295,0.00098,0.132,17.13,Red,M,5.0,5.0
66,0,2945,0.00032,0.093,18.34,Red,M,5.0,5.0
67,0,2817,0.00098,0.0911,16.45,Red,M,5.0,5.0
68,0,2774,0.00036,0.118,17.39,Red,M,5.0,5.0
69,0,2871,0.00072,0.12,19.43,Red,M,5.0,5.0
70,1,3345,0.021,0.273,12.3,Red,M,5.0,5.0
71,1,3607,0.022,0.38,10.12,Red,M,5.0,5.0
72,1,3304,0.0085,0.18,13.2,Red,M,5.0,5.0
73,1,3150,0.0088,0.35,11.94,Red,M,5.0,5.0
74,1,3550,0.004,0.291,10.89,Red,M,5.0,5.0
75,1,3180,0.001,0.35,11.76,Red,M,5.0,5.0
76,1,2890,0.0034,0.24,13.46,Red,M,5.0,5.0
77,1,3342,0.0015,0.307,11.87,Red,M,5.0,5.0
78,1,2621,0.0006,0.098,12.81,Red,M,5.0,5.0
79,1,3158,0.00135,0.161,13.98,Red,M,5.0,5.0
80,2,7100,0.00029,0.012,14.09,White_Yellow,F,7.0,2.0
81,2,10574,0.00014,0.0092,12.02,White,F,6.0,2.0
82,2,8930,0.00056,0.0095,13.78,White,A,6.0,0.0
83,2,17200,0.00098,0.015,12.45,Blue_White,B,1.0,1.0
84,2,14100,0.00067,0.0089,12.17,Blue_White,B,1.0,1.0
85,2,9675,0.00045,0.0109,13.98,Blue_White,A,1.0,0.0
86,2,12010,0.00078,0.0092,12.13,Blue_White,B,1.0,1.0
87,2,10980,0.00074,0.0087,11.19,Blue_White,B,1.0,1.0
88,2,13720,0.00018,0.00892,12.97,White,F,6.0,2.0
89,2,19860,0.0011,0.0131,11.34,Blue,B,0.0,1.0
90,3,5300,0.59,0.91,5.49,Yellow_White,F,9.0,2.0
91,3,4526,0.153,0.865,6.506,Yellowish,K,10.0,4.0
92,3,4077,0.085,0.795,6.228,Yellowish,K,10.0,4.0
93,3,4980,0.357,1.13,4.78,Yellowish,K,10.0,4.0
94,3,9030,45.0,2.63,1.45,Blue_White,A,1.0,0.0
95,3,11250,672.0,6.98,-2.3,Blue_White,A,1.0,0.0
96,3,5112,0.63,0.876,4.68,Orange_Red,K,3.0,4.0
97,3,7720,7.92,1.34,2.44,Yellow_White,F,9.0,2.0
98,3,12098,689.0,7.01,0.02,Blue_White,A,1.0,0.0
99,3,36108,198000.0,10.2,-4.4,Blue,O,0.0,6.0
100,4,33300,240000.0,12.0,-6.5,Blue,B,0.0,1.0
101,4,40000,813000.0,14.0,-6.23,Blue,O,0.0,6.0
102,4,23000,127000.0,36.0,-5.76,Blue,O,0.0,6.0
103,4,17120,235000.0,83.0,-6.89,Blue,O,0.0,6.0
104,4,11096,112000.0,12.0,-5.91,Blue,O,0.0,6.0
105,4,14245,231000.0,42.0,-6.12,Blue,O,0.0,6.0
106,4,24630,363000.0,63.0,-5.83,Blue,O,0.0,6.0
107,4,12893,184000.0,36.0,-6.34,Blue,O,0.0,6.0
108,4,24345,142000.0,57.0,-6.24,Blue,O,0.0,6.0
109,4,33421,352000.0,67.0,-5.79,Blue,O,0.0,6.0
110,5,3459,100000.0,1289.0,-10.7,Red,M,5.0,5.0
111,5,3605,126000.0,1124.0,-10.81,Red,M,5.0,5.0
112,5,3615,200000.0,1635.0,-11.33,Red,M,5.0,5.0
113,5,3399,117000.0,1486.0,-10.92,Red,M,5.0,5.0
114,5,3610,132000.0,1522.0,-10.86,Red,M,5.0,5.0
115,5,3553,145000.0,1324.0,-11.03,Red,M,5.0,5.0
116,5,4015,282000.0,1534.0,-11.39,Red,K,5.0,4.0
117,5,3625,74000.0,876.0,-10.25,Red,M,5.0,5.0
118,5,6850,229000.0,1467.0,-10.07,Red,G,5.0,3.0
119,5,3780,200000.0,1324.0,-10.7,Red,M,5.0,5.0
120,0,3323,0.00043,0.0912,17.16,Red,M,5.0,5.0
121,0,3531,0.00093,0.0976,19.94,Red,M,5.0,5.0
122,0,3218,0.00054,0.11,20.02,Red,M,5.0,5.0
123,0,3146,0.00015,0.0932,16.92,Red,M,5.0,5.0
124,0,3511,0.00064,0.109,17.12,Red,M,5.0,5.0
125,0,3225,0.00076,0.121,19.63,Red,M,5.0,5.0
126,0,2935,0.00087,0.0932,16.88,Red,M,5.0,5.0
127,0,2861,0.00019,0.0899,16.71,Red,M,5.0,5.0
128,0,2856,0.000896,0.0782,19.56,Red,M,5.0,5.0
129,0,2731,0.000437,0.0856,18.09,Red,M,5.0,5.0
130,1,3095,0.00019,0.492,10.87,Red,M,5.0,5.0
131,1,3607,0.00023,0.38,10.34,Red,M,5.0,5.0
132,1,3100,0.008,0.31,11.17,Red,M,5.0,5.0
133,1,2989,0.0087,0.34,13.12,Red,M,5.0,5.0
134,1,3542,0.0009,0.62,14.23,Red,M,5.0,5.0
135,1,3243,0.0023,0.73,14.75,Red,M,5.0,5.0
136,1,3091,0.0081,0.24,11.43,Red,M,5.0,5.0
137,1,3598,0.0011,0.56,14.26,Red,M,5.0,5.0
138,1,3324,0.0034,0.34,12.23,Red,M,5.0,5.0
139,1,3541,0.0013,0.256,14.33,Red,M,5.0,5.0
140,2,13420,0.00059,0.00981,13.67,Blue_White,B,1.0,1.0
141,2,21020,0.0015,0.0112,11.52,Blue,B,0.0,1.0
142,2,18290,0.0013,0.00934,12.78,Blue,B,0.0,1.0
143,2,14520,0.00082,0.00972,11.92,Blue_White,B,1.0,1.0
144,2,11900,0.00067,0.00898,11.38,Blue_White,B,1.0,1.0
145,2,8924,0.00028,0.00879,14.87,Blue_White,A,1.0,0.0
146,2,12912,0.00071,0.00945,12.83,Blue_White,B,1.0,1.0
147,2,14732,0.00011,0.00892,12.89,White,F,6.0,2.0
148,2,7723,0.00014,0.00878,14.81,White,A,6.0,0.0
149,2,12984,0.00088,0.00996,11.23,Blue_White,B,1.0,1.0
150,3,29560,188000.0,6.02,-4.01,Blue_White,B,1.0,1.0
151,3,8945,38.0,2.487,0.12,Blue_White,A,1.0,0.0
152,3,14060,1092.0,5.745,-2.04,Blue_White,A,1.0,0.0
153,3,16390,1278.0,5.68,-3.32,Blue_White,B,1.0,1.0
154,3,25070,14500.0,5.92,-3.98,Blue_White,B,1.0,1.0
155,3,28700,16790.0,6.4,-4.09,Blue_White,B,1.0,1.0
156,3,26140,14520.0,5.49,-3.8,Blue_White,B,1.0,1.0
157,3,20120,4720.0,6.78,-3.4,Blue_White,B,1.0,1.0
158,3,13023,998.0,6.21,-1.38,Blue_White,A,1.0,0.0
159,3,37800,202900.0,6.86,-4.56,Blue,O,0.0,6.0
160,4,25390,223000.0,57.0,-5.92,Blue,O,0.0,6.0
161,4,11567,251000.0,36.0,-6.245,Blue,O,0.0,6.0
162,4,12675,452000.0,83.0,-5.62,Blue,O,0.0,6.0
163,4,5752,245000.0,97.0,-6.63,Blue,O,0.0,6.0
164,4,8927,239000.0,35.0,-7.34,Blue,O,0.0,6.0
165,4,7282,131000.0,24.0,-7.22,Blue,O,0.0,6.0
166,4,19923,152000.0,73.0,-5.69,Blue,O,0.0,6.0
167,4,26373,198000.0,39.0,-5.83,Blue,O,0.0,6.0
168,4,17383,342900.0,30.0,-6.09,Blue,O,0.0,6.0
169,4,9373,424520.0,24.0,-5.99,Blue,O,0.0,6.0
170,5,3570,320000.0,1480.0,-7.58,Red,M,5.0,5.0
171,5,3500,138000.0,1420.0,-8.18,Red,M,5.0,5.0
172,5,4287,630000.0,1315.0,-9.2,Orange,K,2.0,4.0
173,5,26000,316000.0,1679.0,-9.1,Blue,B,0.0,1.0
174,5,3600,240000.0,1190.0,-7.89,Red,M,5.0,5.0
175,5,3614,145000.0,1553.0,-7.71,Red,M,5.0,5.0
176,5,18000,200000.0,1045.0,-8.3,Blue,O,0.0,6.0
177,5,11000,170000.0,1779.0,-9.9,Blue_White,B,1.0,1.0
178,5,12100,120000.0,708.9,-7.84,Blue_White,B,1.0,1.0
179,5,24490,248490.0,1134.5,-8.24,Blue_White,B,1.0,1.0
180,0,2831,0.000231,0.0915,16.21,Red,M,5.0,5.0
181,0,2914,0.000631,0.116,18.39,Red,M,5.0,5.0
182,0,3419,0.000245,0.126,17.56,Red,M,5.0,5.0
